Zafra-Semana,Ingenio,Zafra,Semana,CAÑA CONTRATADA CORTE MANUAL (TON),CAÑA CONTRATADA COSECHA MEC (TON),CAÑA DE OTROS INGENIOS (TON),CAÑA LIBRE (NO CONTRATADA) (TON),CAÑA MOLIDA BRUTA TOTAL (TON),CAÑA UTILIZADA PARA SEMILLA (TON),CAÑA ENVIADA A OTROS INGENIOS (TON),CAÑA DESTINADA A OTROS FINES (TON),TOTAL CAÑA COSECHADA (TON),TOTAL CAÑA COSECHADA (HA),CAÑA MOLIDA NO PROGRAMADA (TON)
20206,Cía. La Fe (Pujiltic),2020,6,14563.13,0,0,0,14563.13,0,0,0,14563.13,0,0
20207,Cía. La Fe (Pujiltic),2020,7,73781.21,0,0,0,73781.21,16964.76,0,0,90745.97,794.153,0
20208,Cía. La Fe (Pujiltic),2020,8,137564.71,0,0,0,137564.71,16964.76,0,0,154529.47,1437.175,0
20209,Cía. La Fe (Pujiltic),2020,9,202257.42,0,0,0,202257.42,16964.76,0,0,219222.18,1976.228,0
202010,Cía. La Fe (Pujiltic),2020,10,266482.07,0,0,0,266482.07,16964.76,0,0,283446.83,2586.48,49.83
202011,Cía. La Fe (Pujiltic),2020,11,335596.81,0,0,0,335596.81,16964.76,0,0,352561.57,3227.09,518.63
202012,Cía. La Fe (Pujiltic),2020,12,404914.47,0,0,0,404914.47,16964.76,0,0,421879.23,3878.938,2211.99
202013,Cía. La Fe (Pujiltic),2020,13,455441.36,0,0,0,455441.36,16964.76,0,0,472406.12,4371.861,250.8
202015,Cía. La Fe (Pujiltic),2020,15,444615.29,0,0,0,444615.29,6216.72,0,0,450832.01,4571.366,8093.92
202016,Cía. La Fe (Pujiltic),2020,16,514344.94,0,0,0,514344.94,7214.28,0,0,521559.22,5326.588,16376.76
202017,Cía. La Fe (Pujiltic),2020,17,584384.25,0,0,0,584384.25,8664.36,0,0,593048.61,6075.332,23106.97
202018,Cía. La Fe (Pujiltic),2020,18,654582.87,0,0,0,654582.87,9612.48,0,0,664195.35,6829.696,26603.98
202019,Cía. La Fe (Pujiltic),2020,19,725971.18,0,0,0,725971.18,10698.96,0,0,736670.14,7596.136,28932.54
202020,Cía. La Fe (Pujiltic),2020,20,795344.87,0,0,0,795344.87,11483.64,0,0,806828.51,8393.244,30370.81
202021,Cía. La Fe (Pujiltic),2020,21,862784.85,0,0,0,862784.85,12173.04,0,0,874957.89,9159.231,35665.66
202022,Cía. La Fe (Pujiltic),2020,22,933501.57,0,0,0,933501.57,12923.04,0,0,946424.61,9951.546,38170.2
202023,Cía. La Fe (Pujiltic),2020,23,1002344.65,0,0,0,1002344.65,14184.36,0,0,1016529.01,10776.097,39805.82
202024,Cía. La Fe (Pujiltic),2020,24,1071223.02,0,0,0,1071223.02,14500.56,0,0,1085723.58,11536.284,49428.94
202025,Cía. La Fe (Pujiltic),2020,25,1140225.76,0,0,0,1140225.76,14593.56,0,0,1154819.32,12326.255,52196.09
202026,Cía. La Fe (Pujiltic),2020,26,1205781.03,0,0,0,1205781.03,14853.12,0,0,1220634.15,13079.334,58951.86
202027,Cía. La Fe (Pujiltic),2020,27,1276734.31,0,0,0,1276734.31,15295.44,0,0,1292029.75,13931.656,62878.04
202028,Cía. La Fe (Pujiltic),2020,28,1347470.12,0,0,0,1347470.12,15423.24,0,0,1362893.36,14753.997,63031.42
202029,Cía. La Fe (Pujiltic),2020,29,1403469.14,0,0,0,1403469.14,15567.24,0,0,1419036.38,15446.09,71624.24
202030,Cía. La Fe (Pujiltic),2020,30,1472878.88,0,0,0,1472878.88,15923.64,0,0,1488802.52,16292.069,73017.55
202031,Cía. La Fe (Pujiltic),2020,31,1541585.86,0,0,0,1541585.86,15923.64,0,0,1557509.5,17157.486,73017.55
202032,Cía. La Fe (Pujiltic),2020,32,1577098.96,0,0,0,1577098.96,16410.84,0,0,1593509.8,17743.718,73319
202033,Cía. La Fe (Pujiltic),2020,33,1577098.96,0,0,0,1577098.96,18130.2,0,0,1595229.16,17760.912,73319
202034,Cía. La Fe (Pujiltic),2020,34,1577098.96,0,0,0,1577098.96,10575.95,0,0,1587674.91,17670.24,73319
202035,Cía. La Fe (Pujiltic),2020,35,1577098.96,0,0,0,1577098.96,10575.95,0,0,1587674.91,17670.24,73319
202036,Cía. La Fe (Pujiltic),2020,36,1577098.96,0,0,0,1577098.96,10575.95,0,0,1587674.91,17670.24,73319
202037,Cía. La Fe (Pujiltic),2020,37,1577098.96,0,0,0,1577098.96,10575.95,0,0,1587674.91,17670.24,73319
202038,Cía. La Fe (Pujiltic),2020,38,1577098.96,0,0,0,1577098.96,10575.95,0,0,1587674.91,17670.24,73319
202039,Cía. La Fe (Pujiltic),2020,39,1577098.96,0,0,0,1577098.96,10575.95,0,0,1587674.91,17670.24,73319
202040,Cía. La Fe (Pujiltic),2020,40,1577098.96,0,0,0,1577098.96,10575.95,0,0,1587674.91,17670.24,73319
202011,Huixtla,2020,11,18712.86,24127.16,0,0,42840.02,668,0,0,43508.02,449.102,0
202012,Huixtla,2020,12,43670.11,56752.68,0,0,100422.79,1011,0,0,101433.79,1030.942,0
202013,Huixtla,2020,13,69780.15,88616.1,0,0,158396.25,1361,0,0,159757.25,1600.315,0
202015,Huixtla,2020,15,157296.02,179843.22,0,0,337139.24,2206.5,0,0,339345.74,3470.381,0
202016,Huixtla,2020,16,182497.88,209670.95,0,0,392168.83,2303.5,0,0,394472.33,4038.514,0
202017,Huixtla,2020,17,209502.09,236100.51,0,0,445602.6,2303.5,0,0,447906.1,4583.143,0
202018,Huixtla,2020,18,237093.1,252335.25,0,0,489428.35,3778.5,0,0,493206.85,5051.796,0
202019,Huixtla,2020,19,262668.35,282894.5,0,0,545562.85,4008.5,0,0,549571.35,5626.629,0
202020,Huixtla,2020,20,288745.23,314924.92,0,0,603670.15,4599.5,0,0,608269.65,6255.113,0
202021,Huixtla,2020,21,312165.63,344742.92,0,0,656908.55,5310.5,0,0,662219.05,6848.18,0
202022,Huixtla,2020,22,335497.89,377259.73,0,0,712757.62,5664.5,0,0,718422.12,7493.95,0
202023,Huixtla,2020,23,360865.44,410693.52,0,0,771558.96,6804.5,0,0,778363.46,8257.932,0
202024,Huixtla,2020,24,384425.65,442701.94,0,0,827127.59,6804.5,0,0,833932.09,8932.32,0
202025,Huixtla,2020,25,408890.12,476123.64,0,0,885013.76,7102.5,0,0,892116.26,9666.845,0
202026,Huixtla,2020,26,433728.67,506194.89,0,0,939923.56,9012.5,0,0,948936.06,10418.675,0
202027,Huixtla,2020,27,458979.94,530494.97,0,0,989474.91,9012.5,0,0,998487.41,11077.307,0
202028,Huixtla,2020,28,484698.31,560896.79,0,0,1045595.1,9257.5,0,0,1054852.6,11814.475,0
202029,Huixtla,2020,29,508928.32,589544.21,0,0,1098472.53,10067.5,0,0,1108540.03,12550.594,0
202030,Huixtla,2020,30,532506.58,618429.85,0,0,1150936.43,10661.9,0,0,1161598.33,13283.409,0
202031,Huixtla,2020,31,559375.84,646670.69,0,0,1206046.53,10883.15,0,0,1216929.68,14041.528,0
202032,Huixtla,2020,32,581963.12,676161.39,0,0,1258124.51,11532.15,0,0,1269656.66,14882.911,0
202033,Huixtla,2020,33,583264.33,695982.43,0,0,1279246.76,14074.65,0,0,1293321.41,15249.605,0
202034,Huixtla,2020,34,583264.33,695982.43,0,0,1279246.76,14074.65,0,0,1293321.41,15249.605,0
202035,Huixtla,2020,35,583264.33,695982.43,0,0,1279246.76,14074.65,0,0,1293321.41,15249.605,0
202036,Huixtla,2020,36,583264.33,695982.43,0,0,1279246.76,14074.65,0,0,1293321.41,15249.605,0
202037,Huixtla,2020,37,583264.33,695982.43,0,0,1279246.76,14074.65,0,0,1293321.41,15249.605,0
202038,Huixtla,2020,38,583264.33,695982.43,0,0,1279246.76,14074.65,0,0,1293321.41,15249.605,0
202039,Huixtla,2020,39,583264.33,695982.43,0,0,1279246.76,14074.65,0,0,1293321.41,15249.605,0
